gva_id,types,transferred_by,fact_check1,fact_check2,fact_check3
2002672,domestic violence,Karen Li,,,
2002269,premeditated,Karen Li,,,
2002614,gang violence,Karen Li,,,
2124396,murder-suicide,Sydney Uridel,,,
2123395,murder-suicide,Sydney Uridel,,,
2126212,domestic violence,Sydney Uridel,,,
2125444,domestic violence,Sydney Uridel,,,
1999125,premeditated,Karen Li,,,
1999125,murder-suicide,Karen Li,,,
1993057,domestic violence,Karen Li,,,
1993057,murder-suicide,Karen Li,,,
1995232,murder-suicide,Chae-ann L,,,
1992193,domestic violence,Elva Cortez,,,
1993617,murder-suicide,Chae-ann L,,,
1993617,domestic violence,Chae-ann L,,,
1992320,murder-suicide,Chae-ann L,,,
1992281,murder-suicide,Chae-ann L,,,
1992410,murder-suicide,Michael Monetti,,,
1990821,murder-suicide,Michael Monetti,,,
1990680,murder-suicide,Michael Monetti,,,